,City,Property_Type,Zero Momentum Percentage
191,Billings,Single Family Residential,1.7543859649122806
192,Billings,Townhouse,1.7543859649122806
193,Birmingham,Condo,1.7543859649122806
194,Birmingham,Multi-Family (2-4 Unit),3.508771929824561
195,Birmingham,Single Family Residential,1.7543859649122806
196,Birmingham,Townhouse,1.7543859649122806
197,Bismarck,Condo,1.8181818181818181
198,Bismarck,Multi-Family (2-4 Unit),5.263157894736842
199,Bismarck,Single Family Residential,1.7543859649122806
200,Bismarck,Townhouse,1.8181818181818181
201,Bloomfield Hills,Condo,1.7543859649122806
202,Bloomfield Hills,Single Family Residential,1.7543859649122806
203,Bloomington,Condo,67.2514619883041
204,Bloomington,Multi-Family (2-4 Unit),67.2514619883041
205,Bloomington,Single Family Residential,67.2514619883041
206,Bloomington,Townhouse,67.2514619883041
207,Boca Raton,Condo,1.7543859649122806
208,Boca Raton,Multi-Family (2-4 Unit),21.052631578947366
209,Boca Raton,Single Family Residential,1.7543859649122806
210,Boca Raton,Townhouse,1.7543859649122806
211,Boise,Condo,1.7543859649122806
212,Boise,Multi-Family (2-4 Unit),3.508771929824561
213,Boise,Single Family Residential,1.7543859649122806
214,Boise,Townhouse,1.7543859649122806
215,Bolingbrook,Condo,1.7543859649122806
216,Bolingbrook,Single Family Residential,1.7543859649122806
217,Bolingbrook,Townhouse,1.7543859649122806
218,Boston,Condo,1.7543859649122806
219,Boston,Multi-Family (2-4 Unit),1.7543859649122806
220,Boston,Single Family Residential,1.7543859649122806
221,Boston,Townhouse,1.7543859649122806
222,Bothell,Condo,1.7543859649122806
223,Bothell,Multi-Family (2-4 Unit),68.42105263157895
224,Bothell,Single Family Residential,1.7543859649122806
225,Bothell,Townhouse,1.7543859649122806
226,Boulder,Condo,1.7543859649122806
227,Boulder,Multi-Family (2-4 Unit),7.017543859649122
228,Boulder,Single Family Residential,1.7543859649122806
229,Boulder,Townhouse,1.7543859649122806
230,Bowie,Condo,1.7543859649122806
231,Bowie,Single Family Residential,1.7543859649122806
232,Bowie,Townhouse,1.7543859649122806
233,Bowling Green,Condo,5.263157894736842
234,Bowling Green,Multi-Family (2-4 Unit),7.017543859649122
235,Bowling Green,Single Family Residential,1.7543859649122806
236,Boynton Beach,Condo,1.7543859649122806
237,Boynton Beach,Multi-Family (2-4 Unit),21.052631578947366
238,Boynton Beach,Single Family Residential,1.7543859649122806
239,Boynton Beach,Townhouse,1.7543859649122806
240,Bozeman,Condo,1.7543859649122806
241,Bozeman,Multi-Family (2-4 Unit),24.561403508771928
242,Bozeman,Single Family Residential,1.7543859649122806
243,Bozeman,Townhouse,1.7543859649122806
244,Bradenton,Condo,1.7543859649122806
245,Bradenton,Multi-Family (2-4 Unit),1.7543859649122806
246,Bradenton,Single Family Residential,1.7543859649122806
247,Bradenton,Townhouse,1.7543859649122806
248,Braintree,Condo,1.7543859649122806
249,Braintree,Multi-Family (2-4 Unit),5.263157894736842
250,Braintree,Single Family Residential,1.7543859649122806
251,Braintree,Townhouse,3.508771929824561
252,Brandon,Condo,1.7543859649122806
253,Brandon,Multi-Family (2-4 Unit),15.789473684210526
254,Brandon,Single Family Residential,1.7543859649122806
255,Brandon,Townhouse,1.7543859649122806
256,Brea,Condo,3.508771929824561
257,Brea,Multi-Family (2-4 Unit),56.14035087719298
258,Brea,Single Family Residential,1.7543859649122806
259,Brea,Townhouse,3.508771929824561
260,Bremerton,Condo,1.7543859649122806
261,Bremerton,Multi-Family (2-4 Unit),1.7543859649122806
262,Bremerton,Single Family Residential,1.7543859649122806
263,Bremerton,Townhouse,17.543859649122805
264,Brentwood,Condo,1.7543859649122806
265,Brentwood,Multi-Family (2-4 Unit),5.263157894736842
266,Brentwood,Single Family Residential,1.7543859649122806
267,Brentwood,Townhouse,1.7543859649122806
268,Bridgeport,Condo,1.7543859649122806
269,Bridgeport,Multi-Family (2-4 Unit),1.7543859649122806
270,Bridgeport,Single Family Residential,1.7543859649122806
271,Bridgeport,Townhouse,1.7543859649122806
272,Bridgeton,Condo,1.7543859649122806
273,Bridgeton,Multi-Family (2-4 Unit),7.017543859649122
274,Bridgeton,Single Family Residential,1.7543859649122806
275,Bridgeton,Townhouse,7.017543859649122
276,Bridgewater,Condo,1.7543859649122806
277,Bridgewater,Multi-Family (2-4 Unit),17.543859649122805
278,Bridgewater,Single Family Residential,1.7543859649122806
279,Bridgewater,Townhouse,3.508771929824561
280,Brighton,Condo,50.877192982456144
281,Brighton,Multi-Family (2-4 Unit),63.1578947368421
282,Brighton,Single Family Residential,50.877192982456144
283,Brighton,Townhouse,50.877192982456144
284,Brockton,Condo,1.7543859649122806
285,Brockton,Multi-Family (2-4 Unit),1.7543859649122806
286,Brockton,Single Family Residential,1.7543859649122806
287,Brockton,Townhouse,3.508771929824561
